#
#  yeastcyc 22.6 Genes link table generated on Tue Nov 20, 2018
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
G3O-32761	P04710	AAC1	
YNL280C	P32462	ERG24	
G3O-29871	Q12153	SSF2	
G3O-33243	P53853	VPS75	
G3O-32699	Q03210	NGL3	
G3O-30748	P53214	MTL1	
G3O-33741	Q08683	APC5	
G3O-33185	P53886	APC1	
G3O-29816	P23394	PRP28	
G3O-31330	P40518	ARC15	
G3O-30688	P53088	NCS6	
G3O-33686	Q12123	DCS2	
G3O-30348	P52871	SBH2	
G3O-29761	P05453	SUP35	
G3O-31241	P89114	SAE3	
G3O-28961	P34227	PRX1	
G3O-34217	Q12321	MED1	
G3O-33629	P26786	RPS7A	
G3O-30289	P40078	NSA2	
G3O-31184	P32900	SKG6	
G3O-28892	Q6B2U8	TDA8	
G3O-31836	P36097	TTI1	
G3O-30232	P40036	GIP2	
YGR194C	P42826	XKS1	
G3O-34164	Q12428	PDH1	
G3O-31735	P47149	NNF1	
G3O-34101	P38688	SRP72	
G3O-29450	Q12008	GPM2	
G3O-31676	P47108	URB2	
YFL045C	P07283	SEC53	
G3O-32283	P43321	SMD3	
YDR399W	Q04178	HPT1	
YPL171C	P41816	OYE3	
G3O-29367	P25337	BUD31	
G3O-28834	P31381	FUN26	
G3O-32800	Q03162	MUB1	
G3O-32229	P25385	BOS1	
G3O-29306	P25580	PBN1	
YOR074C	P06785	CDC21	
G3O-33278	P53829	CAF40	
G3O-32167	Q07084	SSK1	
G3O-32740	P46972	IMP2	
G3O-30790	P48363	PAC10	
G3O-33226	P53867	ATG4	
G3O-29854	Q05549	HRQ1	
YNL071W	P12695	LAT1	
G3O-30725	P53059	MNT2	
G3O-33723	P20436	RPB8	
G3O-32682	P54787	VPS9	
G3O-31310	P06102	NOT3	
G3O-33167	P53903	PGA2	
G3O-29798	P14737	RAD9	
G3O-33613	Q08491	SKI7	
G3O-33668	P08518	RPB2	
G3O-30328	P33306	BCK2	
G3O-31163	P38828	LSM12	
G3O-31221	P38879	EGD2	
G3O-28942	P23724	PRE7	
G3O-34200	Q12049	THP3	
G3O-30214	P40021	ZRG8	
G3O-30272	P40066	GLE2	
G3O-34083	P38996	NAB3	
G3O-28868	P39706	SWD1	
G3O-31818	P33201	MRT4	
G3O-31652	P46957	POL31	
YGR019W	P17649	UGA1	
G3O-34140	Q12365	BBP1	
YDR226W	P07170	ADK1	
G3O-31715	P47133	EMC2	
G3O-29432	Q03441	RMD1	
G3O-28817	P39702	VPS8	
YER062C	P40106	GPP2	
G3O-32265	P32329	YPS1	
G3O-29288	P11710	FUS1	
G3O-29347	P25357	SNT1	
YOR347C	P52489	PYK2	
G3O-32212	Q12205	MNL2	
G3O-32146	P32385	RNP1	
G3O-32780	P49956	CTF18	
YMR250W	Q04792	GAD1	
YOL058W	P22768	ARG1	
G3O-33261	P53843	IST1	
G3O-32722	P53438	SOK2	
G3O-30772	P50276	MUP1	
G3O-32662	Q04651	ERV41	
G3O-29729	Q03898	FIN1	
G3O-33206	P40167	SLZ1	
G3O-29836	Q05580	HEL2	
G3O-30707	P22224	SEC15	
G3O-33705	Q08601	MCA1	
G3O-33146	P53918	ESBP6	
G3O-33593	Q08417	RSB1	
G3O-29782	P42073	REF2	
G3O-31292	P40548	SNL1	
G3O-31145	P38812	GEP4	
G3O-33651	Q01476	UBP2	
G3O-30309	P13393	SPT15	
G3O-30198	P10863	TIR1	
G3O-31202	P38860	MTG2	
G3O-28924	P13434	HAP3	
G3O-34067	P21592	COX10	
G3O-34183	Q12432	EAF3	
G3O-30256	P39965	AIM10	
G3O-28850	P39727	ERV46	
G3O-31759	P0CX35	RPS4A	
YDR035W	P14843	ARO3	
G3O-34122	Q12464	RVB2	
G3O-31636	P08466	NUC1	
YGL142C	P30777	GPI10	
G3O-29387	P25655	CDC39	
G3O-30671	P53099	TPN1	
G3O-31696	P32529	RPA12	
G3O-29247	Q6Q595	SCS22	
YEL024W	P08067	RIP1	
G3O-32247	Q12347	HRT3	
G3O-32129	Q12370	PAU17	
G3O-29328	P25371	ADP1	
YOR196C	P32875	LIP5	
