#
#  yeastcyc 22.6 Pathways link table generated on Tue Nov 20, 2018
#
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	yW-72 biosynthesis
PWY-5659	GDP-mannose biosynthesis	
DETOX1-PWY	superoxide radicals degradation	removal of superoxide radicals
PWY0-1305	L-glutamate degradation to 4-aminobutanoate	
PWY0-662	PRPP biosynthesis	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY3O-3827	glucose-6-phosphate biosynthesis	glucose-6-P biosynthesis
PWY3O-123	dolichyl phosphate D-mannose biosynthesis	
PWY-5458	methylglyoxal degradation V	
PWY-5386-1	methylglyoxal catabolism	glyoxalase pathway	methylglyoxal catabolism
PWY-6466	pyridoxal 5'-phosphate biosynthesis II	vitamin B6 biosynthesis
ARO-YEAST-PWY	chorismate biosynthesis	aromatic amino acid biosynthesis	shikimate pathway
PWY-6164	3-dehydroquinate biosynthesis	
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	
PWY3O-1874	p-aminobenzoate biosynthesis	para-aminobenzoate biosynthesis	p-aminobenzoic acid biosynthesis	pABA biosynthesis
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion	
PWY-5067	glycogen biosynthesis	
PWY3O-70	chitosan biosynthesis	
PWY-6773	1,3-&beta;-D-glucan biosynthesis	callose biosynthesis
ARGSYNBSUB-PWY	arginine biosynthesis	
PWY-7790	UMP biosynthesis II	uridine-5'-phosphate biosynthesis II	<i>de novo</i> biosynthesis of uridine-5'-phosphate II	<i>de novo</i> biosynthesis of uridine-5'-monophosphate II
PYRIMID-RNTSYN-PWY	de novo biosynthesis of pyrimidine ribonucleotides	pyrimsyn	pyrimidine biosynthesis
PWY-7985	oxalate degradation VI	
PWY-5768	pyruvate fermentation to acetate VIII	pyruvic acid fermentation to acetic acid VIII
PWY3O-4	carnitine shuttle	
PWY-7424	sterol:steryl ester interconversion	
PWY-7184	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	
PWY-7800	Ac/N-end rule pathway	N-Terminal acetylation-targeted N-End Rule pathway
ASPARAGINE-BIOSYNTHESIS	asparagine biosynthesis	
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	
TRNA-CHARGING-PWY	tRNA charging	
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP	
PWY-6829	tRNA methylation	
PWY3O-661	butanediol biosynthesis	butanediol fermentation	butylene glycol fermentation
PWY3O-64	methionine salvage pathway	5'-methylthioadenosine (MTA) cycle	MTA cycle
PWY-6536	4-aminobutyrate degradation	&gamma;-amino-butyrate shunt	GABA degradation
PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)	
PWY-5703	urea degradation	
PWY-5350	thiosulfate disproportionation III (rhodanese)	
PWY-5084	2-ketoglutarate dehydrogenase complex	2-oxoglutarate dehydrogenase complex	2-ketoglutarate dehydrogenase complex
PWY-5938	(<i>R</i>)-acetoin biosynthesis I	D-acetoin biosynthesis I
PWY3O-440	acetoin biosynthesis III	
PWY-5486	pyruvate fermentation to ethanol II	
PWY-5951	(<i>R,R</i>)-butanediol biosynthesis	(<i>R,R</i>)-butylene glycol fermentation	(<i>R,R</i>)-butanediol fermentation
PWY-6392	<i>meso</i>-butanediol biosynthesis II	(<i>R,S</i>)-butylene glycol fermentation	(<i>R,S</i>)-butanediol fermentation	(<i>R,S</i>)-butanediol biosynthesis
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)	
GLYCOLYSIS-YEAST-PWY	glycolysis	Embden-Meyerhof pathway	glucose degradation	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis (plastidic)
PWY4FS-6	phosphatidylethanolamine biosynthesis II	
PWY-5669	phosphatidylethanolamine biosynthesis I	
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
PWY-7409	phospholipid remodeling (phosphatidylethanolamine)	
PWY-5667	CDP-diacylglycerol biosynthesis	CDP-diacylglycerol biosynthesis
PWY-5269	cardiolipin biosynthesis	
