#
#  yeastcyc 22.6 Reactions link table generated on Tue Nov 20, 2018
#
GLUTATHIONE-REDUCT-NADPH-RXN	EC-1.8.1.7
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
GLUTAMINESYN-RXN	EC-6.3.1.2
GLUTAMINE--TRNA-LIGASE-RXN	EC-6.1.1.18
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
GLUTAMIDOTRANS-RXN	EC-4.3.2
GLUTAMATE-SYNTHASE-NADH-RXN	EC-1.4.1.14
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2
GLURS-RXN	EC-6.1.1.17
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN	EC-5.1.3.15
GLUCOSAMINEPNACETYLTRANS-RXN	EC-2.3.1.4
GLUCONOKIN-RXN	EC-2.7.1.12
GLUCOKIN-RXN	EC-2.7.1.1	EC-2.7.1.2
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
GLU6PDEHYDROG-RXN	EC-1.1.1.49
GDPKIN-RXN	EC-2.7.4.6
GCVMULTI-RXN	
GART-RXN	EC-2.1.2.2
GAPOXNPHOSPHN-RXN	EC-1.2.1.12
GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN	EC-4.3.2.9
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
GALACTOKIN-RXN	EC-2.7.1.6
GABATRANSAM-RXN	EC-2.6.1.19
FUMHYDR-RXN	EC-4.2.1.2
FUMARATE-REDUCTASE-NADH-RXN	EC-1.3.1.6
FRUCTOKINASE-RXN	EC-2.7.1.4
FPPSYN-RXN	EC-2.5.1.10
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
FORMYLTHFDEFORMYL-RXN	EC-3.5.1.10
FORMYL-COA-HYDROLASE-RXN	EC-3.1.2.10
FORMATETHFLIG-RXN	EC-6.3.4.3
FORMALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.46
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
FGAMSYN-RXN	EC-6.3.5.3
FERRIC-CHELATE-REDUCTASE-RXN	EC-1.16.1.7
FATTY-ACYL-COA-SYNTHASE-RXN	EC-2.3.1.86
FARNESYLTRANSTRANSFERASE-RXN	EC-2.5.1.29
FADSYN-RXN	EC-2.7.7.2
F16BDEPHOS-RXN	EC-3.1.3.11
F16ALDOLASE-RXN	EC-4.1.2.13
EXOPOLYPHOSPHATASE-RXN	EC-3.6.1.11
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN	EC-2.7.8.1
ETHANOLAMINE-KINASE-RXN	EC-2.7.1.82
ENZRXN-201-RXN	EC-1.1.1
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
ENOYL-COA-DELTA-ISOM-RXN	EC-5.3.3.8
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
DUDPKIN-RXN	EC-2.7.4.6
DTMPKI-RXN	EC-2.7.4.12	EC-2.7.4.13	EC-2.7.4.9
DTDPKIN-RXN	EC-2.7.4.6
DSERDEAM-RXN	EC-4.3.1.18
DOLICHYLDIPHOSPHATASE-RXN	EC-3.6.1.43
DOLICHOL-KINASE-RXN	EC-2.7.1.108
DNA-LIGASE-ATP-RXN	EC-6.5.1.7	EC-6.5.1.1	EC-6.5.1.6
DNA-DIRECTED-RNA-POLYMERASE-RXN	EC-2.7.7.6
DNA-DIRECTED-DNA-POLYMERASE-RXN	EC-2.7.7.7
DIPHTINE--AMMONIA-LIGASE-RXN	EC-6.3.1.14
DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN	EC-4.1.1.33
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
DIMETHUROPORDEHYDROG-RXN	EC-1.3.1.76
DIHYDROXYMETVALDEHYDRAT-RXN	EC-4.2.1.9
DIHYDROXYISOVALDEHYDRAT-RXN	EC-4.2.1.9
DIHYDROOROT-RXN	EC-3.5.2.3
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	EC-3.6.1
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
DIHYDLIPACETRANS-RXN	EC-2.3.1.12
DIENOYLCOAREDUCT-RXN	EC-1.3.1.34
DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	EC-2.3.1.20
DHS-PHOSPHATASE-RXN	EC-3.1.3
DGDPKIN-RXN	EC-2.7.4.6
DETHIOBIOTIN-SYN-RXN	EC-6.3.3.3
DEPHOSPHOCOAKIN-RXN	EC-2.7.1.24
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC-4.1.99.3
DEOXYINOPHOSPHOR-RXN	EC-2.4.2.1
DEOXYHYPUSINE-MONOOXYGENASE-RXN	EC-1.14.99.29
DEOXYGUANPHOSPHOR-RXN	EC-2.4.2.1
DEOXYADENYLATE-KINASE-RXN	EC-2.7.4.13	EC-2.7.4.11
DEOXYADENPHOSPHOR-RXN	EC-2.4.2.1
DCTP-DEAM-RXN	EC-3.5.4.13
DCMP-DEAMINASE-RXN	EC-3.5.4.12
DCDPKIN-RXN	EC-2.7.4.6
DAPASYN-RXN	EC-2.6.1.62
DAHPSYN-RXN	EC-2.5.1.54
DADPKIN-RXN	EC-2.7.4.6
D-XYLULOSE-REDUCTASE-RXN	EC-1.1.1.9
D-RIBULOKIN-RXN	EC-2.7.1.47
D-ARABINOSE-1-DEHYDROGENASE-RXN	EC-1.1.1.116
CYTIKIN-RXN	EC-2.7.1.213
CYTIDINEKIN-RXN	EC-2.7.1.213
CYTIDEAM2-RXN	EC-3.5.4.5
CYTIDEAM-RXN	EC-3.5.4.5
CYTDEAM-RXN	EC-3.5.4.1
CYSTEINE--TRNA-LIGASE-RXN	EC-6.1.1.16
CYSTATHIONINE-BETA-SYNTHASE-RXN	EC-4.2.1.22
CYSTATHIONINE-BETA-LYASE-RXN	EC-4.4.1.13
CTPSYN-RXN	EC-6.3.4.2
CITSYN-RXN	EC-2.3.3.16	EC-2.3.3.1
CHORISMATEMUT-RXN	EC-5.4.99.5
CHORISMATE-SYNTHASE-RXN	EC-4.2.3.5
CHOLINE-KINASE-RXN	EC-2.7.1.32
CHITIN-SYNTHASE-RXN	EC-2.4.1.16
CHITIN-DEACETYLASE-RXN	EC-3.5.1.41
CERAMIDASE-YEAST-RXN	EC-3.5.1.23
CERAMIDASE-RXN	EC-3.5.1.23
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
CDPKIN-RXN	EC-2.7.4.6
CDPDIGLYSYN-RXN	EC-2.7.7.41
CATAL-RXN	EC-1.11.1.21	EC-1.11.1.6
CARNITINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.7
CARDIOLIPSYN-RXN	EC-2.7.8
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
BENZYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.90
BENZYL-ALC-DEHYDROGENASE-RXN	EC-1.1.1.90
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.7
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
