MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
G3O-32432-MONOMER	G3O-32432	Q05924	Dose-dependent Cell cycle Regulator	
YIL164C-MONOMER	YIL164C	P40447	nitrilase	
G3O-31344-MONOMER	G3O-31344	P40507	Arginine methyltransferase-Interacting RING finger protein	
G3O-32873-MONOMER	G3O-32873	Q12751	Unknown	
G3O-33278-MONOMER	G3O-33278	P53829	CCR4 Associated Factor	
G3O-30042-MONOMER	G3O-30042	Q04429	Homologue of LRe1	
G3O-29223-MONOMER	G3O-29223	Q3E7Y5	YBL111C	
G3O-33676-MONOMER	G3O-33676	Q12330	SME1	
G3O-31619-MONOMER	G3O-31619	P46983	AuTophaGy related	
G3O-34076-MONOMER	G3O-34076	Q08923	Cyc8-Tup1 Interacting protein	
G3O-30500-MONOMER	G3O-30500	P32450	AUA1	
G3O-29633-MONOMER	G3O-29633	Q99359	RADiation sensitive	
G3O-30884-MONOMER	G3O-30884	P46951	alpha-sYnuclein Protective Protein	
G3O-32023-MONOMER	G3O-32023	P36022	DYNein	
MONOMER3O-419	YJL134W	P47013	sphingoid base phosphate phosphatase	
G3O-32416-MONOMER	G3O-32416	P37370	VeRProlin	
YIL043C-MONOMER	YIL043C	P38626	NADH-cytochrome <i>b</i><sub>5</sub> reductase	cytochrome b reductase, NADH-cytochrome b5 reductase 1
G3O-31328-MONOMER	G3O-31328	P40519	Unknown	
G3O-32857-MONOMER	G3O-32857	P38920	MutL Homolog	
G3O-33262-MONOMER	G3O-33262	P32487	LYP1	
G3O-30026-MONOMER	G3O-30026	P50896	Polymerase SuPpressor	
G3O-29203-MONOMER	G3O-29203	P38353	Sec Sixty-one Homolog	
G3O-33659-MONOMER	G3O-33659	Q12212	SIA1	
G3O-31603-MONOMER	G3O-31603	P46996	Unknown	
G3O-34060-MONOMER	G3O-34060	Q12083	MLH3	
G3O-30483-MONOMER	G3O-30483	P14724	Cell Division Cycle	
G3O-29616-MONOMER	G3O-29616	Q07732	Accumulation of DYads	
G3O-30868-MONOMER	G3O-30868	P53039	YIP1	
G3O-32007-MONOMER	G3O-32007	P26343	Degradation of Allantoin	
MONOMER3O-39566	G3O-33054	P0CT04	Proteinase B Inhibitor 2	
G3O-32400-MONOMER	G3O-32400	P32457	Cell Division Cycle	
YHR137W-MONOMER	YHR137W	P38840	aromatic amino acid aminotransferase II	
G3O-31312-MONOMER	G3O-31312	P40532	APical growth revealed by Quantitative morphological analysis	
G3O-32841-MONOMER	G3O-32841	P28627	Inner Membrane Protease	
G3O-33246-MONOMER	G3O-33246	P53583	Multicopy PDC1 Activator	
G3O-30010-MONOMER	G3O-30010	Q03388	Vacuolar Protein Sorting	
G3O-29187-MONOMER	G3O-29187	P38146	Yeast Protein Two	
G3O-33643-MONOMER	G3O-33643	Q12219	Unknown	
G3O-31587-MONOMER	G3O-31587	P39515	Translocase of the Inner Mitochondrial membrane	
G3O-34044-MONOMER	G3O-34044	P41909	PeroXisomal ABC-transporter	
G3O-30467-MONOMER	G3O-30467	P27466	CalModulin dependent protein Kinase	
G3O-29599-MONOMER	G3O-29599	Q07629	Unknown	
G3O-30852-MONOMER	G3O-30852	P48236	Unknown	
G3O-31991-MONOMER	G3O-31991	P36111	Unknown	
MONOMER3O-32	G3O-31	Q04212		ARAbinose
G3O-32383-MONOMER	G3O-32383	Q02574	Mitosis Entry Checkpoint	
YHR042W-MONOMER	YHR042W	P16603	NADP-cytochrome P450 reductase	
G3O-31296-MONOMER	G3O-31296	P16370	RNA Polymerase B	
G3O-32825-MONOMER	G3O-32825	P40206	dnaJ-Like Protein	
YPL087W-MONOMER	YPL087W	Q02896	dihydroceramidase	alkaline dihydroceramidase
G3O-33230-MONOMER	G3O-33230	P53861	ELongin A	
G3O-29994-MONOMER	G3O-29994	Q03306	Pkb-activating Kinase Homolog	
G3O-29171-MONOMER	G3O-29171	P38141	THIamine metabolism	
G3O-33627-MONOMER	G3O-33627	Q12275	Changed Mutation Rate	
G3O-31571-MONOMER	G3O-31571	P46956	PHOsphate metabolism	
G3O-34028-MONOMER	G3O-34028	P35189	TATA binding protein-Associated Factor	
G3O-30451-MONOMER	G3O-30451	P40965	MutS Homolog	
G3O-29583-MONOMER	G3O-29583	Q12407	YDL199C	
G3O-30835-MONOMER	G3O-30835	P53277	SYnthetic lethal with cdc40 (Forty)	
G3O-31975-MONOMER	G3O-31975	P36034	COnserved Sequence	
MONOMER3O-23	G3O-29	P38242	UDP-N-acetylglucosamine transferase Alg14p subunit	UDP-<i>N</i>-acetylglucosamine: dolichyl diphosphate <i>N</i>-acetylglucosamine, <i>N</i>-acetylglucosamine transferase Alg14p subunit
G3O-32367-MONOMER	G3O-32367	Q06150	Bypass Of Pam1	
YGR256W-MONOMER	YGR256W	P53319	6-phosphogluconate dehydrogenase	
G3O-31280-MONOMER	G3O-31280	Q3E7Y6	N-terminal-Borealin Like protein	
G3O-32809-MONOMER	G3O-32809	Q04471	Unknown	
YOR303W-MONOMER	YOR303W	P07258	carbamoyl phosphate synthetase	
G3O-33214-MONOMER	G3O-33214	P40159	Unknown	
G3O-29978-MONOMER	G3O-29978	P14127	Ribosomal Protein of the Small subunit	
G3O-29155-MONOMER	G3O-29155	P38317	Unknown	
G3O-33611-MONOMER	G3O-33611	Q08490	ShuGOshin (Japanese for "guardian spirit")	
G3O-31551-MONOMER	G3O-31551	P40858	Mitochondrial Ribosomal Protein, Large subunit	
G3O-34012-MONOMER	G3O-34012	Q02979	glycerophosphocholine phosphodiesterase	
G3O-30435-MONOMER	G3O-30435	P43571	Bypass of Sec Thirteen	
G3O-29567-MONOMER	G3O-29567	Q12301	Unknown	
G3O-30819-MONOMER	G3O-30819	P53264	CardioLipin-specific Deacylase	
G3O-31959-MONOMER	G3O-31959	P24004	PEroXin	
MONOMER3O-153	G3O-154	P32318		thiamine thiazole synthase
G3O-32351-MONOMER	G3O-32351	Q06551	Effect on Ras Function	
YGR177C-MONOMER	YGR177C	P53296	alcohol acetyltransferase	alcohol <i>O</i>-acetyltransferase, Atf2p
G3O-31244-MONOMER	G3O-31244	P87108	Translocase of the Inner Membrane	
G3O-32793-MONOMER	G3O-32793	Q04305	U Three Protein	
YOR180C-MONOMER	YOR180C	Q08558	&Delta;3,5-&Delta;2,4-dienoyl-CoA isomerase	
G3O-33198-MONOMER	G3O-33198	P53873	Synthetic With Tgs1	
G3O-29962-MONOMER	G3O-29962	Q04052	AROmatic amino acid requiring	
G3O-29139-MONOMER	G3O-29139	P38129	TATA binding protein-Associated Factor	
G3O-33594-MONOMER	G3O-33594	Q08421	Enhancer of Translation Termination 1	
G3O-31535-MONOMER	G3O-31535	P47033	Pathogen Related in Yeast	
